Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Pair
2023-11-17 20:45:00,36341.90,36529.50,36332.80,36492.80,2773.779,2023-11-17 20:59:59.999,101138369.57541,30673,1608.477,58645503.98891,0,BTCUSDT
2023-11-17 21:00:00,36492.80,36528,36417.70,36437.10,1745.245,2023-11-17 21:14:59.999,63642731.82480,22512,814.960,29719955.87350,0,BTCUSDT
2023-11-17 21:15:00,36437,36457,36347.30,36374.50,1918.731,2023-11-17 21:29:59.999,69812585.35595,21910,855.912,31141146.82360,0,BTCUSDT
2023-11-17 21:30:00,36374.50,36433.60,36352.50,36386,1065.088,2023-11-17 21:44:59.999,38762549.92790,16628,555.027,20199572.55700,0,BTCUSDT
2023-11-17 21:45:00,36386.10,36416,36358.30,36405.90,1146.029,2023-11-17 21:59:59.999,41702091.98080,14563,462.449,16827631.19820,0,BTCUSDT
2023-11-17 22:00:00,36405.80,36485.10,36400,36485,1040.103,2023-11-17 22:14:59.999,37912245.83751,15637,661.321,24105692.23121,0,BTCUSDT
2023-11-17 22:15:00,36484.90,36544,36444.40,36470.70,1462.393,2023-11-17 22:29:59.999,53373820.39250,19983,658.824,24046500.51620,0,BTCUSDT
2023-11-17 22:30:00,36470.60,36539.30,36421,36430.70,1402.400,2023-11-17 22:44:59.999,51169446.21060,18925,458.655,16737838.71910,0,BTCUSDT
2023-11-17 22:45:00,36430.80,36559.10,36430.70,36554.50,1609.001,2023-11-17 22:59:59.999,58759293.61673,20295,863.722,31544395.31393,0,BTCUSDT
2023-11-17 23:00:00,36554.50,36762.60,36527.20,36621.50,6521.941,2023-11-17 23:14:59.999,238909878.28376,55516,4057.001,148611709.46783,0,BTCUSDT
2023-11-17 23:15:00,36621.60,36646.70,36495.10,36514.80,2200.328,2023-11-17 23:29:59.999,80472430.75703,26572,920.948,33681281.93530,0,BTCUSDT
2023-11-17 23:30:00,36514.70,36596,36508,36556.50,1078.784,2023-11-17 23:44:59.999,39431991.47540,16880,612.721,22396567.13050,0,BTCUSDT
2023-11-17 23:45:00,36556.50,36627.60,36504.20,36621.90,1281.976,2023-11-17 23:59:59.999,46871103.35830,16286,719.233,26302044.32920,0,BTCUSDT
2023-11-18 00:00:00,36621.90,36625.70,36519.70,36526.20,2468.924,2023-11-18 00:14:59.999,90291198.97350,24133,984.106,35990232.49660,0,BTCUSDT
